iter	Passed	Remaining
754	6552	2126
755	6561	2117
756	6569	2108
757	6577	2100
758	6585	2091
759	6593	2082
760	6602	2073
761	6611	2065
762	6620	2056
763	6629	2047
764	6638	2039
765	6648	2030
766	6656	2022
767	6665	2013
768	6674	2004
769	6682	1996
770	6691	1987
771	6700	1978
772	6709	1970
773	6717	1961
774	6725	1952
775	6733	1943
776	6741	1934
777	6750	1926
778	6758	1917
779	6766	1908
780	6774	1899
781	6783	1891
782	6791	1882
783	6800	1873
784	6808	1864
785	6817	1856
786	6825	1847
787	6832	1838
788	6839	1829
789	6847	1820
790	6855	1811
791	6863	1802
792	6872	1793
793	6881	1785
794	6889	1776
795	6897	1767
796	6905	1758
797	6914	1750
798	6922	1741
799	6930	1732
800	6939	1723
801	6947	1715
802	6955	1706
803	6964	1697
804	6972	1689
805	6981	1680
806	6989	1671
807	6998	1662
808	7006	1654
809	7014	1645
810	7023	1636
811	7032	1628
812	7041	1619
813	7049	1610
814	7058	1602
815	7067	1593
816	7076	1585
817	7085	1576
818	7093	1567
819	7101	1558
820	7110	1550
821	7118	1541
822	7126	1532
823	7134	1523
824	7143	1515
825	7151	1506
826	7160	1497
827	7168	1489
828	7177	1480
829	7185	1471
830	7194	1463
831	7202	1454
832	7210	1445
833	7219	1436
834	7228	1428
835	7236	1419
836	7247	1411
837	7257	1403
838	7267	1394
839	7276	1385
840	7284	1377
841	7293	1368
842	7302	1359
843	7310	1351
844	7319	1342
845	7327	1333
846	7336	1325
847	7344	1316
848	7352	1307
849	7361	1299
850	7369	1290
851	7377	1281
852	7385	1272
853	7394	1264
854	7402	1255
855	7410	1246
856	7418	1237
857	7426	1229
858	7435	1220
859	7444	1211
860	7453	1203
861	7461	1194
862	7471	1186
863	7480	1177
864	7488	1168
865	7496	1160
866	7505	1151
867	7514	1142
868	7522	1133
869	7531	1125
870	7539	1116
871	7548	1107
872	7556	1099
873	7565	1090
874	7573	1081
875	7581	1073
876	7589	1064
877	7597	1055
878	7605	1046
879	7613	1038
880	7621	1029
881	7629	1020
882	7639	1012
883	7648	1003
884	7657	995
885	7668	986
886	7676	977
887	7685	969
888	7693	960
889	7702	951
890	7710	943
891	7719	934
892	7728	926
893	7736	917
894	7745	908
895	7753	899
896	7761	891
897	7769	882
898	7777	873
899	7786	865
900	7793	856
901	7802	847
902	7810	838
903	7818	830
904	7827	821
905	7835	812
906	7844	804
907	7853	795
908	7861	787
909	7871	778
910	7881	769
911	7889	761
912	7898	752
913	7906	743
914	7915	735
915	7924	726
916	7932	718
917	7941	709
918	7949	700
919	7958	692
920	7966	683
921	7975	674
922	7983	666
923	7991	657
924	8000	648
925	8008	639
926	8016	631
927	8024	622
928	8032	613
929	8040	605
930	8049	596
931	8059	588
932	8068	579
933	8077	570
934	8086	562
935	8094	553
936	8103	544
937	8112	536
938	8119	527
939	8128	518
940	8136	510
941	8145	501
942	8154	492
943	8163	484
944	8171	475
945	8180	466
946	8188	458
947	8196	449
948	8204	440
949	8212	432
950	8221	423
951	8229	414
952	8237	406
953	8245	397
954	8254	388
955	8264	380
956	8272	371
957	8281	363
958	8289	354
959	8296	345
960	8305	337
961	8313	328
962	8322	319
963	8331	311
964	8339	302
965	8348	293
966	8356	285
967	8365	276
968	8373	267
969	8381	259
970	8390	250
971	8398	241
972	8406	233
973	8414	224
974	8422	215
975	8430	207
976	8439	198
977	8447	190
978	8455	181
979	8464	172
980	8472	164
981	8478	155
982	8485	146
983	8492	138
984	8500	129
985	8509	120
986	8517	112
987	8525	103
988	8533	94
989	8542	86
990	8550	77
991	8557	69
992	8566	60
993	8573	51
994	8581	43
995	8589	34
996	8597	25
997	8605	17
998	8614	8
999	8622	0
